,Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
332,Sadio Mané,Forward,Liverpool FC,29,34,32,2,31,16,2,18,16,0,0,5,0,0,0,0,0,0
333,Takumi Minamino,Forward,Liverpool FC,26,11,1,186,2,3,0,3,3,0,0,1,0,1,0,1,1,1
334,Thiago Alcántara,Midfielder,Liverpool FC,30,25,17,1,17,1,4,5,1,0,0,2,0,0,0,0,0,0
335,Trent Alexander-Arnold,Defender,Liverpool FC,22,32,32,2,31,2,12,14,2,0,0,2,0,0,0,0,0,0
336,Tyler Morton,Midfielder,Liverpool FC,18,2,1,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0
337,Virgil van Dijk,Defender,Liverpool FC,30,34,34,3,34,3,1,4,3,0,0,3,0,0,0,0,0,0
338,Aymeric Laporte,Defender,Manchester City,27,33,33,2,31,4,0,4,4,0,0,5,1,0,0,0,0,0
339,Benjamin Mendy,Defender,Manchester City,27,1,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Bernardo Silva,Midfielder,Manchester City,26,35,33,2,31,8,4,12,8,0,0,6,0,0,0,0,0,0
341,CJ Egan-Riley,Defender,Manchester City,18,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,Cole Palmer,Forward,Manchester City,19,4,1,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Ederson,Goalkeeper,Manchester City,27,37,37,3,37,0,0,0,0,0,0,3,0,0,0,0,0,0
344,Erling Haaland,Forward,Manchester City,21,24,21,1,21,22,8,30,16,6,6,3,0,1,0,1,0,1
345,Fernandinho,Midfielder,Manchester City,36,19,10,964,10,2,1,3,2,0,0,1,0,0,0,0,0,0
346,Ferrán Torres,Forward,Manchester City,21,4,4,303,3,2,1,3,2,0,0,0,0,0,0,0,0,0
347,Gabriel Jesus,Forward,Manchester City,24,28,21,1,20,8,8,16,7,1,1,1,0,0,0,0,0,0
348,İlkay Gündoğan,Midfielder,Manchester City,30,27,20,1,20,8,4,12,8,0,0,1,0,0,0,0,0,0
349,Jack Grealish,Forward,Manchester City,25,26,22,1,21,3,3,6,3,0,0,3,0,0,0,0,0,0
350,James Mcatee,Midfielder,Manchester City,18,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,João Cancelo,Defender,Manchester City,27,36,36,3,35,1,7,8,1,0,0,7,0,0,0,0,0,0
352,John Stones,Defender,Manchester City,27,14,12,1,12,1,0,1,1,0,0,0,0,0,0,0,0,0
353,Kayky Chagas,Forward,Manchester City,18,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,Kevin De Bruyne,Midfielder,Manchester City,30,30,25,2,24,15,8,23,15,0,0,2,0,0,0,0,0,0
355,Kyle Walker,Defender,Manchester City,31,20,20,1,19,0,2,2,0,0,0,1,0,0,0,0,0,0
356,Liam Delap,Forward,Manchester City,18,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,Manuel Akanji,Defender,Manchester City,26,26,25,2,25,1,0,1,1,0,0,3,0,0,0,0,0,0
358,Nathan Aké,Defender,Manchester City,26,14,10,923,10,2,0,2,2,0,0,0,0,0,0,0,0,0
359,Oleksandr Zinchenko,Defender,Manchester City,24,15,10,1,11,0,4,4,0,0,0,0,0,0,0,0,0,0
360,Phil Foden,Forward,Manchester City,21,28,24,2,23,9,5,14,9,0,0,1,0,0,0,0,0,0
361,Riyad Mahrez,Forward,Manchester City,30,28,15,1,16,11,5,16,7,4,5,0,0,0,0,0,0,0
362,Rodri,Midfielder,Manchester City,25,33,33,2,32,7,2,9,7,0,0,5,0,0,0,0,0,0
363,Rúben Dias,Defender,Manchester City,24,29,27,2,26,2,4,6,2,0,0,5,0,0,0,0,0,0
364,Sergio Gómez,Defender,Manchester City,20,34,34,2,33,5,11,16,2,3,3,4,0,0,0,0,0,0
365,Zack Steffen,Goalkeeper,Manchester City,26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
366,Donny van de Beek,Midfielder,Manchester United,24,7,5,483,5,1,0,1,1,0,0,1,0,0,0,0,0,0
367,Antony,Forward,Manchester United,21,23,21,1,19,8,4,12,8,0,0,5,1,0,0,0,0,0
368,Casemiro,Midfielder,Manchester United,29,32,31,2,28,1,3,4,1,0,0,11,0,0,0,0,0,0
369,Christian Eriksen,Midfielder,Manchester United,29,11,10,939,10,1,4,5,1,0,0,1,0,0,0,0,0,0
370,Lisandro Martínez,Defender,Manchester United,23,24,23,1,21,1,3,4,1,0,0,4,0,0,0,0,0,0
371,Tyrell Malacia,Defender,Manchester United,21,32,32,2,31,1,4,5,1,0,0,5,0,0,0,0,0,0
372,Aaron Wan-Bissaka,Defender,Manchester United,23,20,20,1,19,0,0,0,0,0,0,2,0,0,0,0,0,0
373,Alejandro Garnacho,Forward,Manchester United,17,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,Alex Telles,Defender,Manchester United,28,21,18,1,18,0,4,4,0,0,0,1,0,0,0,0,0,0
375,Anthony Elanga,Forward,Manchester United,19,21,14,1,13,2,2,4,2,0,0,0,0,0,0,0,0,0
376,Anthony Martial,Forward,Manchester United,25,8,2,212,2,1,0,1,1,0,0,0,0,0,0,0,0,0
377,Bruno Fernandes,Midfielder,Manchester United,26,36,35,3,34,10,6,16,10,0,2,10,0,0,0,0,0,0
378,Cristiano Ronaldo,Forward,Manchester United,36,30,27,2,27,18,3,21,15,3,3,8,0,0,0,0,0,0
379,David de Gea,Goalkeeper,Manchester United,30,38,38,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Diogo Dalot,Defender,Manchester United,22,24,19,1,20,0,0,0,0,0,0,4,0,0,0,0,0,0
381,Edinson Cavani,Forward,Manchester United,34,15,7,766,8,2,1,3,2,0,0,0,0,0,0,0,0,0
382,Fred,Midfielder,Manchester United,28,28,24,2,22,4,4,8,4,0,0,5,0,0,0,0,0,0
383,Hannibal Mejbri,Forward,Manchester United,18,2,1,68,0,0,0,0,0,0,0,2,0,0,0,0,0,0
384,Harry Maguire,Defender,Manchester United,28,30,28,2,27,1,0,1,1,0,0,9,1,0,0,0,0,0
385,Jadon Sancho,Forward,Manchester United,21,29,20,1,21,3,3,6,3,0,0,0,0,0,0,0,0,0
386,Jesse Lingard,Forward,Manchester United,28,16,2,367,4,2,0,2,2,0,0,1,0,0,0,0,0,0
387,Juan Mata,Midfielder,Manchester United,33,7,2,235,2,0,0,0,0,0,0,0,0,0,0,0,0,0
388,Luke Shaw,Defender,Manchester United,26,20,19,1,17,0,3,3,0,0,0,8,0,0,0,0,0,0
389,Marcus Rashford,Forward,Manchester United,23,25,13,1,13,4,2,6,4,0,0,2,0,0,0,0,0,0
390,Mason Greenwood,Forward,Manchester United,19,18,16,1,14,5,1,6,5,0,0,1,0,0,0,0,0,0
391,Paul Pogba,Midfielder,Manchester United,28,20,16,1,15,1,9,10,1,0,0,7,1,0,0,0,0,0
392,Phil Jones,Defender,Manchester United,29,4,2,163,1,0,0,0,0,0,0,0,0,0,0,0,0,0
393,Raphaël Varane,Defender,Manchester United,28,22,20,1,20,1,1,2,1,0,0,0,0,0,0,0,0,0
394,Scott McTominay,Midfielder,Manchester United,24,30,28,2,26,1,1,2,1,0,0,9,0,0,0,0,0,0
395,Shola Shoretire,Midfielder,Manchester United,17,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,Victor Lindelöf,Defender,Manchester United,27,28,26,2,26,0,2,2,0,0,0,4,0,0,0,0,0,0
397,Nick Pope,Goalkeeper,Newcastle United,29,36,36,3,36,0,0,0,0,0,0,1,0,0,0,0,0,0
398,Alexander Isak,Forward,Newcastle United,21,32,26,2,23,6,2,8,4,2,2,6,0,0,0,0,0,0
399,Allan Saint-Maximin,Forward,Newcastle United,24,35,31,2,31,5,5,10,5,0,0,6,0,0,0,0,0,0
400,Bruno Guimarães,Midfielder,Newcastle United,23,17,11,1,11,5,1,6,5,0,0,4,0,0,0,0,0,0
401,Callum Wilson,Forward,Newcastle United,29,18,16,1,15,8,0,8,6,2,2,4,0,0,0,0,0,0
402,Chris Wood,Forward,Newcastle United,29,17,15,1,14,2,0,2,1,1,1,0,0,0,0,0,0,0
403,Ciaran Clark,Defender,Newcastle United,31,13,12,1,11,0,1,1,0,0,0,2,1,0,0,0,0,0
404,Dan Burn,Defender,Newcastle United,29,16,16,1,16,0,1,1,0,0,0,4,0,0,0,0,0,0
405,Dwight Gayle,Forward,Newcastle United,30,8,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0
406,Emil Krafth,Defender,Newcastle United,26,20,18,1,18,0,1,1,0,0,0,5,0,0,0,0,0,0
407,Fabian Schär,Defender,Newcastle United,29,25,25,2,24,2,2,4,2,0,0,4,0,0,0,0,0,0
408,Federico Fernández,Defender,Newcastle United,32,7,5,523,5,0,0,0,0,0,0,0,0,0,0,0,0,0
409,Freddie Woodman,Goalkeeper,Newcastle United,24,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Isaac Hayden,Midfielder,Newcastle United,26,14,12,1,11,1,0,1,1,0,0,5,0,0,0,0,0,0
411,Jacob Murphy,Forward,Newcastle United,26,33,13,1,16,1,2,3,1,0,0,4,0,0,0,0,0,0
412,Jamaal Lascelles,Defender,Newcastle United,27,26,22,2,22,1,0,1,1,0,0,5,0,0,0,0,0,0
413,Jamal Lewis,Defender,Newcastle United,23,5,4,262,2,0,0,0,0,0,0,1,0,0,0,0,0,0
414,Javier Manquillo,Defender,Newcastle United,27,19,15,1,14,1,2,3,1,0,0,5,0,0,0,0,0,0
415,Jeff Hendrick,Midfielder,Newcastle United,29,3,0,72,0,1,0,1,1,0,0,0,0,1,0,1,1,1
416,Joe Willock,Midfielder,Newcastle United,21,29,24,2,22,2,0,2,2,0,0,0,0,0,0,0,0,0
417,Joelinton,Midfielder,Newcastle United,24,35,30,2,28,4,1,5,4,0,0,8,0,0,0,0,0,0
418,Jonjo Shelvey,Midfielder,Newcastle United,29,24,22,1,22,2,1,3,2,0,0,7,1,0,0,0,0,0
419,Karl Darlow,Goalkeeper,Newcastle United,30,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0
420,Kieran Trippier,Defender,Newcastle United,30,6,5,429,4,2,0,2,2,0,0,0,0,0,0,0,0,0
421,Martin Dúbravka,Goalkeeper,Newcastle United,32,26,26,2,26,0,0,0,0,0,0,1,0,0,0,0,0,0
422,Matt Ritchie,Defender,Newcastle United,31,18,14,1,14,0,2,2,0,0,0,5,0,0,0,0,0,0
423,Matt Targett,Defender,Newcastle United,25,16,16,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0
424,Miguel Almirón,Midfielder,Newcastle United,27,30,19,1,19,1,0,1,1,0,0,2,0,0,0,0,0,0
425,Paul Dummett,Defender,Newcastle United,29,3,2,198,2,0,0,0,0,0,0,2,0,0,0,0,0,0
426,Ryan Fraser,Forward,Newcastle United,27,27,18,1,16,2,3,5,2,0,0,3,0,0,0,0,0,0
427,Sean Longstaff,Midfielder,Newcastle United,23,24,15,1,16,1,1,2,1,0,0,1,0,0,0,0,0,0
428,Sven Botman,Defender,Newcastle United,21,25,25,2,25,3,1,4,3,0,0,4,0,0,0,0,0,0
429,Cheikhou Kouyaté,Midfielder,Nottingham Forest,31,27,23,1,21,0,1,1,0,0,0,3,0,0,0,0,0,0
430,Alexander Mighten,Forward,Nottingham Forest,19,23,5,692,7,1,1,2,1,0,0,0,0,0,0,0,0,0
431,Ateef Konaté,Forward,Nottingham Forest,20,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,Brennan Johnson,Forward,Nottingham Forest,20,46,44,3,43,16,10,26,13,3,4,3,0,0,0,0,0,0
433,Cafú,Midfielder,Nottingham Forest,28,14,2,356,4,1,1,2,1,0,0,1,0,0,0,0,0,0
434,Djed Spence,Defender,Nottingham Forest,20,39,38,3,37,2,4,6,2,0,0,4,0,0,0,0,0,0
435,Ethan Horvath,Goalkeeper,Nottingham Forest,26,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0
436,Fin Back,Defender,Nottingham Forest,18,3,2,254,2,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Gaëtan Bong,Defender,Nottingham Forest,33,7,4,444,4,0,1,1,0,0,0,0,0,0,0,0,0,0
438,Giulian Biancone,Defender,Nottingham Forest,21,33,26,2,25,1,2,3,1,0,0,10,0,0,0,0,0,0
439,Harry Toffolo,Defender,Nottingham Forest,25,42,40,3,39,6,7,13,6,0,0,4,0,0,0,0,0,0
440,Hwang Ui-jo,Forward,Nottingham Forest,28,32,29,2,27,11,2,13,11,0,0,3,0,0,0,0,0,0
441,Jack Colback,Defender,Nottingham Forest,31,38,36,3,34,3,1,4,3,0,0,12,1,0,0,0,0,0
442,James Garner,Midfielder,Nottingham Forest,20,41,36,3,36,4,8,12,4,0,0,8,0,0,0,0,0,0
443,Jayden Richardson,Defender,Nottingham Forest,20,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,João Carvalho,Midfielder,Nottingham Forest,24,7,2,241,2,0,0,0,0,0,0,1,0,0,0,0,0,0
445,Joe Worrall,Defender,Nottingham Forest,24,39,39,3,39,0,1,1,0,0,0,8,0,0,0,0,0,0
446,Jonathan Panzo,Defender,Nottingham Forest,20,1,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,Jordan Gabriel,Defender,Nottingham Forest,22,4,4,359,4,0,0,0,0,0,0,2,1,0,0,0,0,0
448,Jordi Osei-Tutu,Midfielder,Nottingham Forest,22,4,4,233,2,0,0,0,0,0,0,1,0,0,0,0,0,0
449,Josh Bowler,Midfielder,Nottingham Forest,22,42,30,2,31,7,3,10,7,0,0,6,0,0,0,0,0,0
450,Keinan Davis,Forward,Nottingham Forest,23,15,14,1,11,5,2,7,5,0,0,5,0,0,0,0,0,0
451,Lewis Grabban,Forward,Nottingham Forest,33,32,23,2,22,12,4,16,10,2,2,3,0,0,0,0,0,0
452,Lewis O'Brien,Midfielder,Nottingham Forest,22,43,43,3,42,3,3,6,3,0,0,9,0,0,0,0,0,0
453,Loïc Bade,Defender,Nottingham Forest,21,14,11,985,10,0,1,1,0,0,0,3,1,0,0,0,0,0
454,Loïc Mbe Soh,Defender,Nottingham Forest,20,2,2,117,1,0,0,0,0,0,0,0,0,0,0,0,0,0
455,Lyle Taylor,Forward,Nottingham Forest,31,18,8,795,8,3,1,4,2,1,1,3,0,0,0,0,0,0
456,Max Lowe,Defender,Nottingham Forest,24,20,19,1,18,1,4,5,1,0,0,2,0,0,0,0,0,0
457,Moussa Niakhate,Defender,Nottingham Forest,25,30,29,2,28,4,0,4,2,2,2,1,0,0,0,0,0,0
458,Neco Williams,Defender,Nottingham Forest,20,14,14,1,13,2,2,4,2,0,0,2,0,0,0,0,0,0
459,Omar Richards,Defender,Nottingham Forest,23,12,5,438,4,0,0,0,0,0,0,1,0,0,0,0,0,0
460,Orel Mangala,Midfielder,Nottingham Forest,23,28,22,1,20,1,3,4,1,0,0,4,0,0,0,0,0,0
461,Philip Zinckernagel,Midfielder,Nottingham Forest,26,42,35,2,31,6,7,13,6,0,0,5,0,0,0,0,0,0
462,Remo Freuler,Midfielder,Nottingham Forest,29,29,28,2,26,1,3,4,1,0,0,10,0,0,0,0,0,0
463,Renan Lodi,Defender,Nottingham Forest,23,29,13,1,13,2,2,4,2,0,0,4,0,0,0,0,0,0
464,Ryan Yates,Midfielder,Nottingham Forest,23,43,41,3,40,8,0,8,8,0,0,8,0,0,0,0,0,0
465,Sam Surridge,Forward,Nottingham Forest,23,17,5,623,6,7,1,8,7,0,0,2,0,1,0,1,1,1
466,Scott McKenna,Defender,Nottingham Forest,24,45,45,3,44,2,3,5,2,0,0,7,0,0,0,0,0,0
467,Steve Cook,Defender,Nottingham Forest,30,14,13,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
468,Taiwo Awoniyi,Forward,Nottingham Forest,23,31,29,2,24,15,1,16,13,2,2,1,0,0,0,0,0,0
469,Tobias Figueiredo,Defender,Nottingham Forest,27,26,22,1,21,0,0,0,0,0,0,6,0,0,0,0,0,0
470,Tyrese Fornah,Midfielder,Nottingham Forest,21,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,Xande Silva,Forward,Nottingham Forest,24,8,2,238,2,0,1,1,0,0,0,0,0,0,0,0,0,0
472,Emmanuel Dennis,Forward,Nottingham Forest,23,33,30,2,28,10,6,16,10,0,0,9,1,0,0,0,0,0
473,Adam Armstrong,Forward,Southampton FC,24,23,17,1,15,2,2,4,2,0,0,1,0,0,0,0,0,0
474,Alex McCarthy,Goalkeeper,Southampton FC,31,17,17,1,17,0,0,0,0,0,0,1,0,0,0,0,0,0
475,Armando Broja,Forward,Southampton FC,19,32,21,1,21,6,0,6,6,0,0,2,0,0,0,0,0,0
476,Armel Bella Kotchap,Defender,Southampton FC,19,22,20,1,19,0,0,0,0,0,0,5,0,0,0,0,0,0
477,Che Adams,Forward,Southampton FC,25,30,23,2,22,7,3,10,7,0,0,0,0,0,0,0,0,0
478,Duje Ćaleta-Car,Defender,Southampton FC,24,26,24,2,22,2,0,2,2,0,0,6,0,0,0,0,0,0
479,Fraser Forster,Goalkeeper,Southampton FC,33,19,19,1,19,0,0,0,0,0,0,1,0,0,0,0,0,0
480,Ibrahima Diallo,Midfielder,Southampton FC,22,23,10,1,11,0,2,2,0,0,0,1,0,0,0,0,0,0
481,Jack Stephens,Defender,Southampton FC,27,11,9,811,9,0,0,0,0,0,0,3,0,0,0,0,0,0
482,James Ward-Prowse,Midfielder,Southampton FC,26,36,36,3,35,10,5,15,6,4,4,3,1,0,0,0,0,0
483,Jan Bednarek,Defender,Southampton FC,25,31,30,2,29,4,0,4,4,0,0,10,0,0,0,0,0,0
484,Joe Aribo,Midfielder,Southampton FC,25,34,31,2,29,8,4,12,8,0,0,5,0,0,0,0,0,0
485,Kyle Walker-Peters,Defender,Southampton FC,24,32,29,2,29,1,2,3,1,0,0,5,0,0,0,0,0,0
486,Lyanco,Defender,Southampton FC,24,15,9,911,10,0,0,0,0,0,0,2,0,0,0,0,0,0
487,Mohamed Elyounoussi,Midfielder,Southampton FC,26,30,23,2,22,4,2,6,4,0,0,4,0,0,0,0,0,0
488,Mohammed Salisu,Defender,Southampton FC,22,34,33,2,33,0,0,0,0,0,0,10,1,0,0,0,0,0
489,Moussa Djenepo,Midfielder,Southampton FC,23,12,5,457,5,0,0,0,0,0,0,3,0,0,0,0,0,0
490,Nathan Redmond,Midfielder,Southampton FC,27,27,20,1,20,1,5,6,1,0,0,0,0,0,0,0,0,0
491,Nathan Tella,Midfielder,Southampton FC,22,14,10,804,8,0,1,1,0,0,0,2,0,0,0,0,0,0
492,Oriol Romeu,Midfielder,Southampton FC,29,36,34,2,32,2,2,4,2,0,0,9,0,0,0,0,0,0
493,Romain Perraud,Defender,Southampton FC,23,20,18,1,18,0,1,1,0,0,0,3,0,0,0,0,0,0
494,Roméo Lavia,Midfielder,Southampton FC,17,20,20,1,18,1,2,3,1,0,1,4,1,0,0,0,0,0
495,Sekou Mara,Forward,Southampton FC,19,26,8,905,10,6,0,6,5,1,1,2,0,0,0,0,0,0
496,Shane Long,Forward,Southampton FC,34,13,3,308,3,1,0,1,1,0,0,1,0,0,0,0,0,0
497,Stuart Armstrong,Midfielder,Southampton FC,29,25,15,1,16,2,0,2,2,0,0,1,0,0,0,0,0,0
498,Theo Walcott,Midfielder,Southampton FC,32,9,5,379,4,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Valentino Livramento,Defender,Southampton FC,18,28,25,2,24,1,1,2,1,0,0,2,0,0,0,0,0,0
500,William Smallbone,Midfielder,Southampton FC,21,4,2,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0
501,Willy Caballero,Goalkeeper,Southampton FC,39,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0
502,Yan Valery,Defender,Southampton FC,22,5,3,370,4,0,0,0,0,0,0,0,0,0,0,0,0,0
503,Yves Bissouma,Midfielder,Tottenham Hotspurs,24,26,25,2,23,1,2,3,1,0,0,10,0,0,0,0,0,0
504,Richarlison,Forward,Tottenham Hotspurs,24,30,28,2,28,10,5,15,7,3,3,9,0,0,0,0,0,0
505,Ben Davies,Defender,Tottenham Hotspurs,28,29,28,2,28,1,1,2,1,0,0,6,0,0,0,0,0,0
506,Bryan,Forward,Tottenham Hotspurs,20,9,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0
507,Clément Lenglet,Defender,Tottenham Hotspurs,26,21,7,826,9,0,1,1,0,0,0,4,0,0,0,0,0,0
508,Cristian Romero,Defender,Tottenham Hotspurs,23,22,21,1,20,1,0,1,1,0,0,8,0,0,0,0,0,0
509,Dane Scarlett,Midfielder,Tottenham Hotspurs,17,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,Davinson Sánchez,Defender,Tottenham Hotspurs,25,23,17,1,18,2,0,2,2,0,0,4,0,0,0,0,0,0
511,Dejan Kulusevski,Midfielder,Tottenham Hotspurs,21,18,14,1,14,5,8,13,5,0,0,3,0,0,0,0,0,0
512,Destiny Udogie,Defender,Tottenham Hotspurs,18,35,29,2,27,5,3,8,5,0,0,4,0,0,0,0,0,0
513,Emerson,Defender,Tottenham Hotspurs,22,31,26,2,25,1,1,2,1,0,0,5,0,0,0,0,0,0
514,Eric Dier,Defender,Tottenham Hotspurs,27,35,35,3,34,0,0,0,0,0,0,1,0,0,0,0,0,0
515,Giovani Lo Celso,Midfielder,Tottenham Hotspurs,25,9,2,238,2,0,0,0,0,0,0,0,0,0,0,0,0,0
516,Harry Kane,Forward,Tottenham Hotspurs,28,37,36,3,35,17,9,26,13,4,4,5,0,0,0,0,0,0
517,Harry Winks,Midfielder,Tottenham Hotspurs,25,19,9,912,10,0,1,1,0,0,0,2,0,0,0,0,0,0
518,Hugo Lloris,Goalkeeper,Tottenham Hotspurs,34,38,38,3,38,0,0,0,0,0,0,2,0,0,0,0,0,0
519,Ivan Perišić,Defender,Tottenham Hotspurs,32,35,35,2,31,8,6,14,7,1,1,4,0,0,0,0,0,0
520,Japhet Tanganga,Defender,Tottenham Hotspurs,22,11,10,735,8,0,0,0,0,0,0,4,1,0,0,0,0,0
521,Joe Rodon,Defender,Tottenham Hotspurs,23,3,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0
522,Lucas Moura,Forward,Tottenham Hotspurs,28,34,19,1,19,2,6,8,2,0,0,4,0,0,0,0,0,0
523,Matt Doherty,Defender,Tottenham Hotspurs,29,15,9,875,9,2,4,6,2,0,0,0,0,0,0,0,0,0
524,Oliver Skipp,Midfielder,Tottenham Hotspurs,20,18,14,1,15,0,0,0,0,0,0,6,0,0,0,0,0,0
525,Pierre Højbjerg,Midfielder,Tottenham Hotspurs,25,36,36,3,35,2,2,4,2,0,0,3,0,0,0,0,0,0
526,Richarlison,Forward,Tottenham Hotspurs,24,30,28,2,28,10,5,15,7,3,3,9,0,0,0,0,0,0
527,Rodrigo Bentancur,Midfielder,Tottenham Hotspurs,24,17,16,1,15,0,4,4,0,0,0,5,0,0,0,0,0,0
528,Ryan Sessegnon,Defender,Tottenham Hotspurs,21,15,13,1,11,0,2,2,0,0,0,2,0,0,0,0,0,0
529,Sergio Reguilón,Defender,Tottenham Hotspurs,24,25,22,1,21,2,3,5,2,0,0,4,0,0,0,0,0,0
530,Son Heung-min,Midfielder,Tottenham Hotspurs,29,35,35,3,33,23,7,30,23,0,0,2,0,0,0,0,0,0
531,Steven Bergwijn,Forward,Tottenham Hotspurs,23,25,4,565,6,3,1,4,3,0,0,1,0,0,0,0,0,0
532,Tanguy Ndombele,Midfielder,Tottenham Hotspurs,24,9,6,484,5,1,1,2,1,0,0,1,0,0,0,0,0,0
533,Maxwel Cornet,Forward,West Ham United,24,26,21,1,19,9,1,10,9,0,1,2,0,0,0,0,0,0
534,Emerson Palmieri,Defender,West Ham United,26,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,Aaron Cresswell,Defender,West Ham United,31,31,31,2,30,2,3,5,2,0,0,3,0,0,0,0,0,0
536,Alex Král,Midfielder,West Ham United,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,Alphonse Areola,Goalkeeper,West Ham United,28,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
538,Andriy Yarmolenko,Forward,West Ham United,31,19,1,316,3,1,0,1,1,0,0,1,0,0,0,0,0,0
539,Angelo Ogbonna,Defender,West Ham United,33,11,11,921,10,1,0,1,1,0,0,1,0,0,0,0,0,0
540,Arthur Masuaku,Defender,West Ham United,27,13,6,650,7,1,1,2,1,0,0,1,0,0,0,0,0,0
541,Ben Johnson,Defender,West Ham United,21,20,16,1,15,1,0,1,1,0,0,1,0,0,0,0,0,0
542,Craig Dawson,Defender,West Ham United,31,34,30,2,30,2,2,4,2,0,0,5,1,0,0,0,0,0
543,Daniel Chesters,Midfielder,West Ham United,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,Declan Rice,Midfielder,West Ham United,22,36,35,3,35,1,4,5,1,0,0,8,0,0,0,0,0,0
545,Flynn Downes,Midfielder,West Ham United,22,37,34,2,31,1,2,3,1,0,0,12,1,0,0,0,0,0
546,Gianluca Scamacca,Forward,West Ham United,22,36,25,2,23,16,0,16,15,1,1,7,0,0,0,0,0,0
547,Harrison Ashby,Defender,West Ham United,19,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,Issa Diop,Defender,West Ham United,24,13,10,963,10,0,1,1,0,0,0,0,0,0,0,0,0,0
549,Jarrod Bowen,Forward,West Ham United,24,36,34,2,33,12,10,22,12,0,0,6,0,0,0,0,0,0
550,Kurt Zouma,Defender,West Ham United,26,24,24,2,23,1,0,1,1,0,0,1,0,0,0,0,0,0
551,Lucas Paquetá,Midfielder,West Ham United,23,35,32,2,30,9,6,15,8,1,1,3,0,0,0,0,0,0
552,Łukasz Fabiański,Goalkeeper,West Ham United,36,37,37,3,37,0,0,0,0,0,0,2,0,0,0,0,0,0
553,Manuel Lanzini,Midfielder,West Ham United,28,30,19,1,19,5,3,8,2,3,3,2,0,0,0,0,0,0
554,Mark Noble,Midfielder,West Ham United,34,11,3,332,3,1,0,1,0,1,2,0,0,0,0,0,0,0
555,Michail Antonio,Forward,West Ham United,31,36,34,2,33,10,8,18,10,0,1,8,1,0,0,0,0,0
556,Nayef Aguerd,Defender,West Ham United,25,31,31,2,30,2,2,4,2,0,0,3,1,0,0,0,0,0
557,Nikola Vlašić,Forward,West Ham United,23,19,6,560,6,1,0,1,1,0,0,0,0,0,0,0,0,0
558,Pablo Fornals,Forward,West Ham United,25,36,32,2,31,6,3,9,6,0,0,4,0,0,0,0,0,0
559,Ryan Fredericks,Defender,West Ham United,28,7,3,307,3,0,0,0,0,0,0,1,0,0,0,0,0,0
560,Saïd Benrahma,Forward,West Ham United,25,32,26,2,24,8,6,14,8,0,0,0,0,0,0,0,0,0
561,Sonny Perkins,Forward,West Ham United,17,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,Thilo Kehrer,Defender,West Ham United,24,27,16,1,16,2,0,2,2,0,0,0,0,0,0,0,0,0
563,Tomáš Souček,Midfielder,West Ham United,26,35,34,3,34,5,1,6,5,0,0,3,0,0,0,0,0,0
564,Vladimír Coufal,Defender,West Ham United,28,28,25,2,24,0,4,4,0,0,0,5,1,0,0,0,0,0
565,Nathan Collins,Defender,Wolverhampton Wanderers,20,19,18,1,18,2,0,2,2,0,0,2,1,0,0,0,0,0
