,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
147,Tyler Adams,Midfielder,23,17,Germany,Bundesliga,RB Leipzig,England,Premier League,Leeds United,17,False
148,Wout Faes,Defender,24,10,France,Ligue 1,Stade Reims,England,Premier League,Leicester City,17,False
150,Tyrell Malacia,Defender,22,17,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Manchester United,15,False
151,Marcos Senesi,Defender,25,17,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,AFC Bournemouth,15,False
163,Hee-chan Hwang,Forward,26,16,Germany,Bundesliga,RB Leipzig,England,Premier League,Wolverhampton Wanderers,16,False
168,Duje Caleta-Car,Defender,25,16,France,Ligue 1,Olympique Marseille,England,Premier League,Southampton FC,8,False
179,Cheick Doucouré,Midfielder,22,15,France,Ligue 1,RC Lens,England,Premier League,Crystal Palace,22,False
181,Mikkel Damsgaard,Forward,22,15,Italy,Serie A,UC Sampdoria,England,Premier League,Brentford FC,15,False
184,Rasmus Kristensen,Defender,24,15,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,13,False
185,Orel Mangala,Midfielder,24,15,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Nottingham Forest,13,False
187,Pierre-Emerick Aubameyang,Forward,33,15,Spain,LaLiga,FC Barcelona,England,Premier League,Chelsea FC,12,False
188,Nick Pope,Goalkeeper,30,15,England,Championship,Burnley FC,England,Premier League,Newcastle United,11,False
202,Emmanuel Dennis,Forward,24,14,England,Championship,Watford FC,England,Premier League,Nottingham Forest,14,False
203,Djed Spence,Defender,21,8,England,Championship,Middlesbrough FC,England,Premier League,Tottenham Hotspur,14,False
205,Emerson,Defender,28,14,England,Premier League,Chelsea FC,England,Premier League,West Ham United,15,False
206,Gavin Bazunu,Goalkeeper,20,5,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,14,False
216,Sékou Mara,Forward,19,3,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Southampton FC,13,False
217,Sergio Gómez,Defender,21,10,Belgium,Jupiler Pro League,RSC Anderlecht,England,Premier League,Manchester City,13,False
225,Roméo Lavia,Midfielder,18,2,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,12,False
227,Marc Roca,Midfielder,25,7,Germany,Bundesliga,Bayern Munich,England,Premier League,Leeds United,12,False
230,Chris Richards,Defender,22,7,Germany,Bundesliga,Bayern Munich,England,Premier League,Crystal Palace,12,False
238,Billy Gilmour,Midfielder,21,12,England,Premier League,Chelsea FC,England,Premier League,Brighton & Hove Albion,8,False
241,Fábio Carvalho,Midfielder,19,12,England,Premier League,Fulham FC,England,Premier League,Liverpool FC,5,False
243,Idrissa Gueye,Midfielder,32,12,France,Ligue 1,Paris Saint-Germain,England,Premier League,Everton FC,4,False
253,Clément Lenglet,Defender,27,12,Spain,LaLiga,FC Barcelona,England,Premier League,Tottenham Hotspur,0,True
256,Loïc Badé,Defender,22,12,France,Ligue 1,Stade Rennais FC,England,Premier League,Nottingham Forest,0,True
257,Sam Johnstone,Goalkeeper,29,12,England,Championship,West Bromwich Albion,England,Premier League,Crystal Palace,0,False
259,Marcus Tavernier,Midfielder,23,4,England,Championship,Middlesbrough FC,England,Premier League,AFC Bournemouth,11,False
260,Julio Enciso,Forward,18,11,Paraguay,Primera División Clausura,Club Libertad Asunción,England,Premier League,Brighton & Hove Albion,11,False
265,Flynn Downes,Midfielder,23,2,Wales,Championship,Swansea City,England,Premier League,West Ham United,10,False
267,James Garner,Midfielder,21,7,England,Premier League 2,Manchester United U21,England,Premier League,Everton FC,10,False
268,Armel Bella-Kotchap,Defender,20,10,Germany,Bundesliga,VfL Bochum,England,Premier League,Southampton FC,11,False
272,Giulian Biancone,Defender,22,4,France,Ligue 1,ESTAC Troyes,England,Premier League,Nottingham Forest,10,False
278,Joe Aribo,Midfielder,25,10,Scotland,Premiership,Rangers FC,England,Premier League,Southampton FC,7,False
283,Wilfried Gnonto,Forward,18,10,Switzerland,Super League,FC Zürich,England,Premier League,Leeds United,4,False
299,Ivan Perisic,Midfielder,33,10,Italy,Serie A,Inter Milan,England,Premier League,Tottenham Hotspur,0,False
301,Ainsley Maitland-Niles,Midfielder,25,10,England,Premier League,Arsenal FC,England,Premier League,Southampton FC,0,True
312,Andreas Pereira,Midfielder,26,7,England,Premier League,Manchester United,England,Premier League,Fulham FC,9,False
315,Lewis O'Brien,Midfielder,23,3,England,Championship,Huddersfield Town,England,Premier League,Nottingham Forest,9,False
316,Alphonse Areola,Goalkeeper,29,8,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,9,False
317,Gabriel Slonina,Goalkeeper,18,3,United States,MLS,Chicago Fire FC,England,Premier League,Chelsea FC,9,False
323,Kevin Mbabu,Defender,27,9,Germany,Bundesliga,VfL Wolfsburg,England,Premier League,Fulham FC,5,False
324,Bernd Leno,Goalkeeper,30,9,England,Premier League,Arsenal FC,England,Premier League,Fulham FC,3,False
340,Omar Richards,Defender,24,7,Germany,Bundesliga,Bayern Munich,England,Premier League,Nottingham Forest,8,False
346,Simon Adingra,Forward,20,1,Denmark,Superligaen,FC Nordsjaelland,England,Premier League,Brighton & Hove Albion,8,False
355,Carlos Vinícius,Forward,27,8,Portugal,Liga Portugal,SL Benfica,England,Premier League,Fulham FC,5,False
404,Ui-jo Hwang,Forward,29,7,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Nottingham Forest,4,False
407,Marquinhos,Forward,19,7,Brazil,Série A,São Paulo Futebol Clube,England,Premier League,Arsenal FC,3,False
425,Jack Stephens,Defender,28,7,England,Premier League,Southampton FC,England,Premier League,AFC Bournemouth,0,True
431,Thomas Strakosha,Goalkeeper,27,7,Italy,Serie A,SS Lazio,England,Premier League,Brentford FC,0,False
450,Matt Turner,Goalkeeper,28,5,United States,MLS,New England Revolution,England,Premier League,Arsenal FC,6,False
474,Willy Boly,Defender,31,6,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,2,False
491,Stefan Ortega,Goalkeeper,29,6,Germany,2. Bundesliga,Arminia Bielefeld,England,Premier League,Manchester City,0,False
552,Calvin Ramsay,Defender,18,5,Scotland,Premiership,Aberdeen FC,England,Premier League,Liverpool FC,4,False
586,Ludwig Augustinsson,Defender,28,5,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,500,True
590,Rúben Vinagre,Defender,23,5,Portugal,Liga Portugal,Sporting CP,England,Premier League,Everton FC,0,True
606,Shane Duffy,Defender,30,5,England,Premier League,Brighton & Hove Albion,England,Premier League,Fulham FC,0,True
614,Levi Colwill,Defender,19,5,England,Premier League 2,Chelsea FC U21,England,Premier League,Brighton & Hove Albion,0,True
703,Martin Dúbravka,Goalkeeper,33,4,England,Premier League,Newcastle United,England,Premier League,Manchester United,2,True
